color,l,a,b,subparent,parent
中绿,42.375,-14.075,1.725,青,青
天蓝,58.60766483,-7.420516115,-30.12939941,青,青
天青,57.60833333,-13.838,-21.54116667,青,青
孔雀蓝,45.49488003,-5.783827124,-32.28450125,青,青
景泰蓝,49.41006009,6.01984944,-42.53463761,青,青
橄榄灰,45.35863601,-1.469006082,9.287887007,青,黑
浅兰,64.25,-6.5,-23,青,青
浅蓝,64.75275,-8.457,-23.65175,青,青
浅雪青,68.16666667,11,-16,青,白
灰蓝,46.14647244,-4.927168598,-9.03328642,青,青
花青,40.03485969,0.271401412,-29.56287153,青,黑
苍色,46.62575,-12.361,-4.33575,青,青
蓝翠,59.39724699,-16.24274989,-23.67488869,青,青
虹蓝,52.70318145,-1.879426197,-35.43110142,青,青
虾青,57.9638,-6.3764,-2.6866,青,青
蟹青,59.958,-4.693142857,-2.379285714,青,青
钴蓝,59.76018223,-10.910815,-26.32745388,青,青
青,38.313,-1.532,-31.41583333,青,黑
青灰色,44.98726879,0.168774117,-7.382739079,青,黑
靛青,41.1978011,3.759915686,-41.08281257,青,黑
大红,48.98833333,61.40266667,46.92766667,赤,赤
朱红,54.20179923,55.90450448,48.67642671,赤,赤
桔红,58.62,45.62,36.38,赤,赤
桔黄,64.8356,33.9466,42.4054,赤,黄
浅血牙,78.9552,24.9854,21.9664,赤,白
玳瑁黄,60.44325967,16.99709239,25.48335101,赤,赤
褐色,42.7805,19.079,29.15625,赤,赤
赭石,42.56479868,24.30118765,26.9493473,赤,赤
金棕,42.62825,29.494,26.93275,赤,赤
银朱,49.2785338,54.48409077,36.41819242,赤,赤
雄黄,66.48808187,30.43249571,57.63058322,赤,黄
土黄,68.23533864,10.09412335,54.38917601,黄,黄
姜黄,70.55690609,7.103202824,51.3409411,黄,黄
明黄,83.2265,0.2685,69.52983333,黄,黄
杏黄,68.94760795,23.61487106,52.28222884,黄,黄
枯绿,67.23492976,-0.001877246,44.16668955,黄,黄
栀子黄,78.17018061,8.283566705,64.3183488,黄,黄
琥珀黄,69.40316061,17.61578787,55.14531277,黄,黄
石黄,78.7254368,6.136803841,51.04753639,黄,黄
米白,84.518,7.1212,30.2788,黄,黄
米黄,83.49880384,10.53518755,24.90521448,黄,白
芽绿,73.62666708,-23.12595861,45.92798988,黄,黄
草黄,72.74498197,-3.245166738,54.01981532,黄,黄
葵黄,79.37096249,9.635131974,68.34735432,黄,黄
藤黄,79.86920707,6.674146821,68.76564403,黄,黄
蜜黄,85.07962235,9.574293578,43.93239439,黄,黄
金黄,68.65311111,20.67611111,59.70033333,黄,黄
鹅黄,78.36183333,6.805833333,61.24233333,黄,黄
黄,79.211,7.522,74.10525,黄,黄
乳白,90.66319983,-0.524620091,7.159534558,白,白
月白,85.0134766,-4.197165756,-4.014798887,白,白
水红,76.80682991,19.20499759,2.316586375,白,白
浅湖兰,83.75,-10,-2.75,白,白
浅灰,70.8054,-0.9193,-0.281,白,白
牙色,84.45577343,2.904352152,21.11133961,白,白
藕荷,80.32783923,12.25150058,5.259268131,白,白
蛋青,76.9647876,-10.15159108,-8.308622016,白,白
象牙白,90.75525,1.20125,9.697,白,白
银白,88.30012762,1.513327261,-0.412401974,白,白
银色,82.8202,1.0208,-4.1352,白,白
上青,24,1.8,-15.4,黑,黑
元青,23.86175,0.11925,1.95375,黑,黑
墨色,28.4862,-0.775,-2.1104,黑,黑
枣褐,36.8571825,14.30712446,13.75691023,黑,黑
深上青,27.55555556,0.111111111,-11.22222222,黑,黑
