color,from,l,a,b,parent
银褐,国标,65.5,16,12.8,青
中绿,国标,45.5,-28.3,23.9,青
中绿,染色样本士林类_何进丰,50,-41,-6,青
中绿,染色样本纳夫妥类_何进丰,38,23,-9,青
青,乾隆色谱_刘剑,16,3,-6,青
青,古色之美_青简,41.612,-20.568,-44.405,青
青,先秦色彩_肖世孟,25,20,-58,青
天青,中国颜色_黄仁达,68.633,-24.127,-30.258,青
天青,中国美色_中国国家地理,68.633,-24.127,-30.258,青
天青,古色之美_青简,50.714,-15.058,-43.802,青
花青,故宫里的色彩美学_郭浩,16.464,5.145,-21.222,青
浅蓝,国标,82.6,-10.4,-17.6,青
海蓝,绞丝染色基本色谱_何进丰,70,-27,-18,青
宝蓝,DIC中国传统色,30.28,30.656,-52.206,青
海青,中国色名综览_凑幸卫,73.99383257,-13.3189403,-30.88472438,青
飞燕草蓝,中国色名综览_凑幸卫,44.09819679,1.357351744,-49.70842231,青
景泰蓝,中国色名综览_凑幸卫,65.32367155,5.77538771,-41.50964511,青
灰蓝,色谱_perchouli,21.552,-6.79,-6.489,青
孔雀蓝,色谱_perchouli,66.026,-27.972,-23.169,青
孔雀蓝,DIC中国传统色,30.545,31.652,-57.866,青
孔雀蓝,人造丝绸缎色谱_何进丰,58,-31,-22,青
孔雀蓝,绞丝染色基本色谱_何进丰,45,-28,-32,青
琉璃色,DIC中国传统色,61.343,8.411,40.32,青
琉璃色,中国美色_中国国家地理,58.314,15.616,42.077,青
竹月色,中国美色_中国国家地理,89.089,-0.781,-3.917,青
苍色,古色之美_青简,26.612,-16.525,-14.691,青
缥色,中国美色_中国国家地理,85.517,-8.103,-10.4,青
紫色,中国美色_中国国家地理,71.222,-20.427,-31.893,青
浅雪青,涤棉色谱_何进丰,61,24,-20,青
浅雪青,涤棉色谱_何进丰,80,11,-12,青
浅雪青,涤棉色谱_何进丰,85,7,-6,青
深蛋青,绞丝染色基本色谱_何进丰,35,-29,-20,青
深孔雀兰,绞丝染色基本色谱_何进丰,34,-22,-29,青
焰蓝,中国色名综览_凑幸卫,71.57970028,4.71825137,-32.92139075,青
赭石,中国传统色彩图鉴_鸿洋,49.327,18.75,41.11,赤
赭石,涤棉色谱_何进丰,47,8,25,赤
褐色,国标,34.2,13.7,15.2,赤
褐色,中国美色_中国国家地理,36.013,8.236,24.323,赤
石榴红,钧瓷色彩的特征与分类体系研究_王庆斌,20.191,35.806,14.118,赤
朱红,中国美色_中国国家地理,49.411,72.361,30.419,赤
银朱,色谱_perchouli,54.76,66.765,65.183,赤
桔黄,染色样本士林类_何进丰,68,18,30,赤
麂棕,色谱_perchouli,60.433,35.286,59.725,赤
筍皮棕,色谱_perchouli,28.495,28.761,31.816,赤
槟榔棕,色谱_perchouli,52.645,32.131,54.377,赤
燕颔红,色谱_perchouli,61.377,55.446,66.472,赤
铁水红,色谱_perchouli,54.479,68.813,58.805,赤
极光红,中国色名综览_凑幸卫,86.29824403,20.65734839,0.742403981,赤
苹果红,中国色名综览_凑幸卫,64.0796225,50.58793571,12.75954922,赤
苹果红,中国色名综览_凑幸卫,71.55899501,47.20049815,28.738336,赤
夕阳红,中国色名综览_凑幸卫,64.53646046,59.57112419,15.81005405,赤
