color,from,l,a,b,parent
银褐,国标,65.5,16,12.8,青
银褐,故宫里的色彩美学_郭浩,60.324,8.207,-5.367,青
沙绿,国标,60.5,-19.8,4.1,青
沙绿,DIC中国传统色,34.941,-14.916,-2.686,青
中绿,染色样本纳夫妥类_何进丰,38,23,-9,青
深青,国标,71.1,-14.9,-23,青
青,国标,71.1,-22.6,-15.4,青
青,乾隆色谱_刘剑,16,3,-6,青
青,古色之美_青简,41.612,-20.568,-44.405,青
天青,染作江南春水色_金成熺,43.5,8.53,-7.03,青
天青,古色之美_青简,50.714,-15.058,-43.802,青
天青,钧瓷色彩的特征与分类体系研究_王庆斌,48.17,-9.746,3.601,青
天青,中国颜色_黄仁达,68.633,-24.127,-30.258,青
天青,中国美色_中国国家地理,68.633,-24.127,-30.258,青
蟹青,国标,61,-15.3,-10.3,青
蟹青,DIC中国传统色,61.717,-9.914,4.969,青
蟹青,染色样本硫化类_何进丰,66,-1,10,青
蟹青,钧瓷色彩的特征与分类体系研究_王庆斌,29.851,10.898,-19.776,青
蟹青,中国美色_中国国家地理,76.069,-5.768,-0.774,青
蟹青,中国传统色彩图鉴_鸿洋,76.069,-5.768,-0.774,青
虾青,绞丝染色基本色谱_何进丰,63,-11,6,青
虾青,钧瓷色彩的特征与分类体系研究_王庆斌,58.695,-12.845,-3.012,青
花青,故宫里的色彩美学_郭浩,16.464,5.145,-21.222,青
花青,古色之美_青简,42.448,-14.707,-40.929,青
花青,中国美色_中国国家地理,24.936,6.029,-26.277,青
花青,中国色名综览_凑幸卫,53.5530178,6.104809883,-42.5551007,青
浅蓝,国标,82.6,-10.4,-17.6,青
浅蓝,中国传统色彩图鉴_鸿洋,79.411,-13.428,-18.007,青
淡蓝,国标,76.4,-5.6,-18.1,青
天蓝,国标,76.3,-9.5,-26.5,青
天蓝,中国传统色彩图鉴_鸿洋,69.856,-22.951,-27.935,青
天蓝,中国色名综览_凑幸卫,51.52098898,-0.37609669,-43.55239646,青
蓝翠,国标,56.5,-20.8,-33.4,青
蓝翠,色谱_perchouli,59.872,-25.267,-20.271,青
海蓝,国标,56.3,-13.3,-37.7,青
海蓝,绞丝染色基本色谱_何进丰,70,-27,-18,青
钴蓝,国标,42.2,-0.6,-46.7,青
钴蓝,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,71.78,-17.97,-6.41,青
钴蓝,中国色名综览_凑幸卫,66.52191114,-14.729075,-33.7982694,青
宝蓝,乾隆色谱_刘剑,23,1,-17,青
宝蓝,钧瓷色彩的特征与分类体系研究_王庆斌,29.448,10.509,-26.199,青
宝蓝,中国美色_中国国家地理,33.221,17.825,-41.502,青
藏蓝,国标,29.2,-9,-15.8,青
藏蓝,DIC中国传统色,29.85,10.109,-24.922,青
藏蓝,中国传统色彩图鉴_鸿洋,26.399,18.959,-33.231,青
淡紫,中国传统色彩图鉴_鸿洋,81.218,6.854,-11.354,青
粉紫,国标,65.9,11.8,-27,青
紫粉,国标,65.9,11.8,-27,紫
粉紫,国标,65.9,11.8,-27,青
紫粉,国标,65.9,11.8,-27,紫
藕褐,国标,55.8,7.7,-10.1,青
莲灰,国标,53.2,5.3,-11.5,青
飞泉绿,色谱_perchouli,45.822,-18.414,2.377,青
白屈菜绿,色谱_perchouli,36.735,-10.464,5.698,青
田螺绿,色谱_perchouli,42.212,-5.381,5.169,青
靛青,色谱_perchouli,40.668,6.248,-45.703,青
靛青,钧瓷色彩的特征与分类体系研究_王庆斌,37.497,12.223,-44.809,青
海青,色谱_perchouli,61.756,-21.664,-26.367,青
海青,中国色名综览_凑幸卫,73.99383257,-13.3189403,-30.88472438,青
飞燕草蓝,色谱_perchouli,37.708,8.167,-46.307,青
飞燕草蓝,中国色名综览_凑幸卫,44.09819679,1.357351744,-49.70842231,青
安安蓝,中国色名综览_凑幸卫,43.94226927,13.54627428,-33.34795357,青
海军蓝,中国色名综览_凑幸卫,43.94561436,4.411145999,-23.26323602,青
景泰蓝,中国颜色_黄仁达,33.088,2.703,-47.147,青
群青,中国传统色彩图鉴_鸿洋,33.088,2.703,-47.147,紫
景泰蓝,中国颜色_黄仁达,33.088,2.703,-47.147,青
群青,中国传统色彩图鉴_鸿洋,33.088,2.703,-47.147,紫
景泰蓝,中国色名综览_凑幸卫,51.56656883,16.02401005,-40.50890532,青
景泰蓝,中国色名综览_凑幸卫,65.32367155,5.77538771,-41.50964511,青
品蓝,绞丝染色基本色谱_何进丰,33,1,-42,青
品蓝,中国色名综览_凑幸卫,51.57699805,14.47877978,-36.71129706,青
尼罗蓝,中国色名综览_凑幸卫,56.09157079,6.024043661,-42.43121391,青
鷃蓝,色谱_perchouli,30.173,-1.177,-28.979,青
