color,l,a,b,subparent,parent
䌦色,40.983,-22.77,-4.906,青,青
上兰,33.5,2.5,-29.5,青,黑
东方既白,66.371,0.064,-21.161,青,青
中兰,51,-1,-35,青,青
中晚波兰,56,-8,-6,青,青
中条虾绿,57.137,-3.967,4.049,青,青
中柚蓝,56,-9,-24,青,青
中灰,64.496,-0.199333333,-0.785333333,青,青
中红灰,54.19417428,10.967015,12.45280023,青,黑
中绿,42.375,-14.075,1.725,青,青
中蓝,40.5,-2,-34.5,青,黑
乌贼灰,52.65505389,10.4950927,4.975090268,青,黑
云山蓝,60.1661774,-7.215114894,-30.1988256,青,青
人熊中蓝,42,-5,-31,青,青
人熊浅蓝,53,-8,-24,青,青
人熊深蓝,31,0,-32,青,黑
冬灰色,53.226,-5.603,0.535,青,青
冬青绿,45.02369041,-10.3978919,3.327610473,青,青
剑鞘绿,50.577811,-7.171917962,1.832378167,青,青
北京毛蓝,46.38,-0.511,-23.531,青,青
千山翠,50.723,-8.727,3.237,青,青
吐绶蓝,51.574,-10.323,-24.357,青,青
和平兰,46,-13,-40,青,青
品月,68.669,-3.392,-20.434,青,青
品绿,49.619,-23.525,-13.566,青,青
品蓝,43.79266602,4.71759326,-38.99076569,青,黑
垩灰,52.46536534,-4.383588031,-4.374538047,青,青
墨灰,47.371,-1.842,-6.005,青,青
夏云灰,49.9102624,-4.92290967,-5.874393451,青,青
夜灰,52.489,1.565,5.456,青,青
天兰,68,-19,-25,青,青
天蓝,58.60766483,-7.420516115,-30.12939941,青,青
天青,57.60833333,-13.838,-21.54116667,青,青
太师青,40.472,-8.088,-4.089,青,青
嫩灰,52.03022511,0.334603718,-3.979879341,青,青
孔雀蓝,45.49488003,-5.783827124,-32.28450125,青,青
宵蓝,64.20562658,4.886783709,-32.92346448,青,青
尼罗蓝,51.6637854,2.75302183,-41.75210695,青,青
庭院瓦灰色,53.532,-1.247,8.688,青,青
战舰灰,40.72115068,0.061748363,-14.05235194,青,黑
扎绿,41,-17,-25,青,青
承德灰,47.0865,-0.71,2.7425,青,青
挼蓝,62.327,-4.032,-26.393,青,青
搪磁蓝,42.49300951,-2.293523103,-34.5522845,青,青
星灰,69.75782993,-0.021859786,-7.070788389,青,白
晚天兰,57,-21,-34,青,青
景泰蓝,49.41006009,6.01984944,-42.53463761,青,青
晴山蓝,71.19534808,-1.02728595,-21.57397072,青,青
晴蓝,64.20381489,0.434740477,-24.02216433,青,青
暗灰,48.967,-1.2,0.316,青,青
暗绿,42,-11,5,青,青
暮山紫,70.783,6.796,-22.555,青,白
月兰,45,-16,-43,青,青
松灰,60,0,-4,青,青
柏坊灰蓝,39.9305,-2.908,-17.4595,青,黑
柏林蓝,45.65087245,0.448607175,-43.98694894,青,青
柔蓝,41.652,-6.106,-32.874,青,青
植物花青,43.93,-7.87,-11.44,青,青
楝色,62.102,10.869,-24.533,青,青
樫鸟蓝,54.32914174,-19.44986389,-19.4657309,青,青
橄榄灰,45.35863601,-1.469006082,9.287887007,青,黑
橄榄石灰,55.11479314,-7.373097845,1.89656192,青,青
毛月色,50.162,1.1435,-30.451,青,青
沙绿,47.7205,-17.358,0.707,青,青
沙青,38.571,-6.3805,-21.1465,青,黑
法翠,52.703,-26.239,-14.616,青,青
浅兰,64.25,-6.5,-23,青,青
浅咖啡,50,8,10,青,黑
浅品兰,40,-6,-42,青,青
浅土蓝,38.27,-1.372,-16.801,青,黑
浅蓝,64.75275,-8.457,-23.65175,青,青
浅豆灰,59,6,6,青,青
浅雪青,68.16666667,11,-16,青,白
浅青兰,52,-10,-23,青,青
海军蓝,40.32287145,-0.057951334,-25.24041201,青,黑
海带绿,41.21692356,-7.151237379,1.849489316,青,青
海蓝,53.37233333,-12.51033333,-26.486,青,青
海青,67.87491628,-17.49147015,-28.62586219,青,青
海鸥灰,61.61551346,6.764362996,8.410816093,青,白
涧石蓝,65.45694677,-12.56859382,-22.34261921,青,青
淡玫瑰灰,62.92945192,13.80913772,7.598458043,青,白
淡紫,71.859,6.927,-22.277,青,白
淡红灰,63.59104478,10.83372352,2.064037162,青,白
淡蓝,70.2,-5.3,-17.55,青,青
淡蓝灰,47.93869554,-2.066742354,-11.553791,青,青
淡蓝紫,70.49197099,10.14655138,-14.73193158,青,白
深天兰,57,-17,-34,青,青
深孔雀兰,34,-22,-29,青,青
